loan_amnt,term,installment,emp_length,home_ownership,verification_status,issue_d,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,log_annual_inc,fico_score,log_revol_bal,charged_off
3000,36,99.18,3,OWN,Not Verified,14-May,car,20.35,1997,7,0,18.2,20,Individual,0,0,4.934503501,667,3.519171464,0
7500,36,242.54,3,RENT,Not Verified,14-May,car,7.08,1998,8,1,56.3,26,Individual,1,1,4.857338528,692,3.893539844,0
4875,36,167.78,2,RENT,Not Verified,14-May,car,5.53,2009,7,0,38.8,9,Individual,0,0,4.361746718,677,3.241795431,1
3925,36,129.75,7,MORTGAGE,Not Verified,14-May,car,13.73,1998,7,0,90,32,Individual,7,0,5.00860443,707,3.983581187,0
8000,36,282.41,10,RENT,Source Verified,14-May,car,23.31,1998,13,0,84.1,30,Individual,0,0,4.838855385,672,4.152624639,0
35000,60,880.61,6,MORTGAGE,Verified,14-May,car,19.34,2005,12,0,33.9,19,Individual,1,0,4.973132474,682,3.697229343,0
11200,60,302.94,3,RENT,Source Verified,14-Jun,car,7.79,2008,11,0,38.2,22,Individual,0,0,4.602070849,677,3.540704783,1
3800,36,135.47,4,RENT,Not Verified,14-May,car,25.8,2000,6,1,55,14,Individual,0,1,4.602070849,662,3.495960395,0
10600,36,330.66,2,MORTGAGE,Source Verified,14-May,car,26.09,2001,22,0,42.6,37,Individual,0,0,4.926861848,722,3.970346876,0
2500,36,88.26,2,MORTGAGE,Not Verified,14-May,car,17.18,2001,6,0,81.3,13,Individual,2,0,4.770859373,672,4.165155261,0
6500,36,227.28,7,RENT,Not Verified,14-Jun,car,14.31,2000,7,0,55.9,9,Individual,0,0,4.491375703,662,4.05095946,1
6600,36,216.05,10,MORTGAGE,Not Verified,14-May,car,22.58,2002,22,0,34.3,53,Individual,6,0,4.837064191,702,3.953566414,0
5000,36,157.59,,OWN,Verified,14-May,car,16.87,1995,5,0,26.6,31,Individual,1,0,4.436496591,702,3.733197265,1
12600,36,436.73,2,MORTGAGE,Not Verified,14-May,car,14.48,2005,9,0,66.3,14,Individual,0,0,4.477135731,677,3.770999205,0
20000,60,489.45,7,MORTGAGE,Source Verified,14-May,car,5.59,1997,14,0,52,32,Individual,5,0,5.255274918,682,4.230755374,1
7200,36,284.38,10,RENT,Verified,14-May,car,16.69,2007,4,0,97.5,4,Individual,0,0,4.35220182,677,3.869700974,0
18900,60,455.71,10,MORTGAGE,Not Verified,14-May,car,8.77,1996,7,1,100.2,22,Individual,1,0,4.998263699,692,4.000911062,1
25000,60,665.14,10,MORTGAGE,Source Verified,14-May,car,17.5,1998,14,1,68,27,Individual,6,0,4.812920038,702,4.176756667,1
7000,36,214.52,10,RENT,Not Verified,14-May,car,26.62,1997,17,0,29.4,38,Individual,0,0,4.812920038,757,3.952211058,0
25600,60,595.41,10,OWN,Source Verified,14-May,car,15.55,2000,17,0,53,38,Individual,12,0,5.365489857,717,4.566237093,0
5200,36,173.94,3,MORTGAGE,Not Verified,14-May,car,26.63,2002,10,0,66.7,19,Individual,0,0,4.623259631,682,4.45144869,0
12000,60,357.87,0,RENT,Verified,14-May,car,16.83,1985,10,0,75.3,20,Individual,5,0,4.568213462,702,4.342027688,1
9325,36,315.78,10,RENT,Not Verified,14-May,car,12.81,2001,7,0,29,14,Individual,0,0,4.633478555,672,3.367542274,1
5000,36,168.45,5,RENT,Source Verified,14-May,car,14.15,1997,12,1,20.3,29,Individual,4,1,4.890007208,687,3.777789187,0
5500,36,180.04,4,MORTGAGE,Not Verified,14-May,car,4.21,1993,11,0,13.1,46,Individual,7,0,5.079184865,687,3.365300749,0
6000,36,209.79,0,RENT,Not Verified,14-May,car,7.07,2006,5,0,86.7,7,Individual,0,0,5.155339074,662,3.801540906,0
12000,36,382.55,2,MORTGAGE,Not Verified,14-May,car,4.57,2002,6,0,9.9,17,Individual,5,0,4.886496365,762,4.925229557,0
19500,36,614.58,10,MORTGAGE,Verified,14-May,car,7.42,1999,6,0,66.8,27,Individual,6,0,4.812920038,662,3.928344635,0
16175,36,552.67,0,MORTGAGE,Not Verified,14-May,car,11.8,1994,8,1,36,27,Individual,5,1,5.041396633,662,3.666049738,0
15000,36,459.67,1,RENT,Not Verified,14-May,car,3.8,2010,10,0,11.4,11,Individual,0,0,4.623259631,752,2.995635195,0
19475,60,463.21,7,MORTGAGE,Not Verified,14-May,car,16.66,2008,11,0,30.4,17,Individual,1,0,4.638499241,692,3.623456048,0
25000,36,779.84,6,RENT,Source Verified,14-May,car,15.24,1996,11,0,48,23,Individual,3,0,5.146131138,727,4.415507536,0
4000,36,136.68,10,MORTGAGE,Not Verified,14-May,car,3.2,1995,7,0,54.4,31,Individual,5,0,4.732401802,682,3.633468456,0
20000,60,524.56,8,RENT,Source Verified,14-May,car,11.82,2003,12,0,18.7,32,Individual,6,0,5.176094154,692,3.409764104,0
5000,36,168.45,0,RENT,Source Verified,14-May,car,30.78,1999,25,1,34.3,39,Individual,3,0,4.896531729,672,3.824971461,0
24500,36,764.25,5,RENT,Verified,14-May,car,3.52,1988,8,0,8.8,10,Individual,0,0,4.939234272,787,3.917242858,0
7500,36,247.93,1,OWN,Not Verified,14-May,car,11.67,2000,11,0,6.4,27,Individual,1,0,5.00860443,662,2.95230801,0
11400,36,349.35,2,RENT,Verified,14-May,car,28.06,2007,7,0,69.3,17,Individual,0,0,4.812920038,727,3.692141609,0
10000,36,334.49,10,RENT,Not Verified,14-May,car,10.32,2006,6,0,48.9,10,Individual,0,0,4.69897869,667,3.65829765,0
14000,60,342.62,10,RENT,Source Verified,14-May,car,17.26,2001,9,0,56.1,26,Individual,0,0,4.716011695,667,3.910143961,1
13000,36,402.12,10,MORTGAGE,Source Verified,14-May,car,2.03,1980,6,0,8.2,15,Individual,2,0,4.924284456,827,3.750508395,0
2000,36,73.31,0,RENT,Verified,14-May,car,1.14,1999,7,0,0.3,30,Individual,0,0,4.322239975,692,1.322219295,0
9850,36,336.56,10,RENT,Not Verified,14-May,car,9.49,2007,3,1,58,4,Individual,0,1,4.819550516,672,3.677880582,0
5950,36,212.11,3,RENT,Not Verified,14-May,car,13.28,2001,11,0,71.5,18,Individual,0,0,4.477135731,667,3.594834356,0
12600,60,286.63,1,MORTGAGE,Not Verified,14-May,car,7.93,2004,7,0,42.6,27,Individual,4,0,4.662767273,692,3.986906031,1
5000,36,163.67,10,MORTGAGE,Not Verified,14-May,car,29.28,1996,7,0,58.6,29,Individual,3,0,4.69897869,687,4.187887178,0
6000,36,191.28,10,OWN,Not Verified,14-May,car,23.59,2000,3,0,81.9,14,Individual,0,0,4.676885571,697,4.390493527,0
18900,36,636.73,3,MORTGAGE,Verified,14-May,car,5.74,2009,4,0,38.5,4,Individual,1,0,4.623259631,742,3.716420734,0
2850,36,96.02,0,RENT,Not Verified,14-May,car,14.7,2009,9,0,43.6,9,Individual,0,0,4.39795738,732,3.800510877,1
11175,60,324.74,6,RENT,Source Verified,14-May,car,27.18,2006,20,0,53.2,26,Individual,0,0,4.602070849,672,4.179523067,0
5000,36,168.45,8,RENT,Not Verified,14-May,car,1.77,2007,7,0,0.4,10,Individual,0,0,4.602070849,772,1.806179974,0
6125,36,240.56,0,MORTGAGE,Not Verified,14-May,car,7.99,2010,7,0,56.5,12,Individual,1,0,4.544080453,667,3.67669361,0
10000,60,208.41,1,OWN,Verified,14-May,car,2.1,2005,6,0,18.1,14,Individual,0,0,4.98900907,757,3.820135752,0
4750,36,162.3,5,RENT,Not Verified,14-May,car,19.26,2010,5,0,31.1,6,Individual,0,0,4.361746718,722,3.40688067,0
12500,36,423.29,5,MORTGAGE,Source Verified,14-May,car,30.81,1995,15,0,73.5,38,Individual,0,0,4.903095416,662,4.546345212,1
15000,36,459.67,4,MORTGAGE,Source Verified,14-May,car,0,2007,12,0,0,30,Individual,1,0,4.778158489,747,0,0
35000,36,1204.57,10,OWN,Verified,14-May,car,15.16,1999,22,0,53,41,Individual,7,0,5.158365508,712,4.404046486,0
4500,36,151.61,10,MORTGAGE,Not Verified,14-May,car,12.86,1999,8,0,70.7,31,Individual,3,0,4.845104244,672,4.092194121,0
9500,36,291.13,3,MORTGAGE,Verified,14-May,car,10.02,1978,17,0,10.3,52,Individual,8,0,5.283303491,782,3.946550511,0
26000,36,804.24,0,MORTGAGE,Verified,14-May,car,11.26,2002,16,0,18.7,25,Individual,0,0,5.204122697,777,3.843855423,0
20000,36,683.36,0,MORTGAGE,Verified,14-May,car,1.23,2003,5,0,0,13,Individual,1,0,5.283303491,697,0,0
3000,36,107.82,4,OWN,Verified,14-May,car,11.16,2003,5,0,17.2,10,Individual,0,0,4.584342534,677,3.222456337,0
5600,36,187.32,7,RENT,Source Verified,14-May,car,11.15,2001,8,1,56.7,23,Individual,2,1,4.612794449,662,3.802568498,0
5500,36,189.29,5,MORTGAGE,Source Verified,14-May,car,28.8,1985,11,5,36,36,Individual,4,5,4.602070849,672,3.649821463,0
3000,36,97.02,6,MORTGAGE,Not Verified,14-May,car,25.07,2003,12,0,35,28,Individual,3,0,4.740370586,692,3.957367808,0
8500,36,280.99,10,MORTGAGE,Verified,14-May,car,1.33,1989,4,1,17,19,Individual,1,1,4.556314564,677,2.598790507,0
2375,36,85.36,10,RENT,Not Verified,14-May,car,29.6,2002,10,0,47.2,26,Individual,2,0,4.544080453,692,3.819741297,0
2000,36,69.33,,RENT,Source Verified,14-May,car,21.39,1989,11,1,34.1,14,Individual,0,0,4.334473857,667,3.928805371,1
4800,36,157.13,2,RENT,Verified,14-May,car,1.96,2002,2,0,13.6,7,Individual,0,0,4.477135731,747,3.264581729,0
10000,36,327.34,0,RENT,Source Verified,14-May,car,4.45,2009,13,1,14.8,18,Individual,0,0,4.832515299,712,3.580924976,0
2000,36,67.38,0,OWN,Verified,14-May,car,1.26,2000,14,0,18.5,30,Individual,0,0,4.676702753,737,3.118264726,0
6500,36,204.86,1,MORTGAGE,Verified,14-May,car,16.34,2003,25,0,56.2,55,Individual,1,0,4.740370586,687,4.071624299,0
8000,36,243.49,0,RENT,Not Verified,14-May,car,27.02,2007,8,0,9.9,12,Individual,0,0,4.602070849,787,2.650307523,1
3500,36,115.7,6,MORTGAGE,Not Verified,14-May,car,26,1990,11,0,17.7,37,Individual,1,0,4.623259631,752,3.941809473,0
5000,36,178.24,3,OWN,Not Verified,14-May,car,10.26,2010,5,0,68.4,5,Individual,0,0,4.30105171,672,3.32674538,1
6000,36,196.41,9,MORTGAGE,Source Verified,14-May,car,22.32,1998,7,0,52.8,20,Individual,4,0,4.602070849,707,3.855942946,0
3000,36,99.18,5,RENT,Not Verified,14-May,car,4.03,1997,4,0,38.1,6,Individual,0,0,4.456654455,697,3.313656347,0
5675,36,211.49,10,OWN,Not Verified,14-May,car,8.59,1996,2,0,85.6,4,Individual,0,0,4.475685713,732,3.802020752,0
1800,36,61.95,0,MORTGAGE,Not Verified,14-May,car,9.93,2008,4,0,19.7,4,Individual,1,0,4.602070849,692,2.471291711,0
7500,36,250.87,9,OWN,Verified,14-May,car,6.87,2005,7,0,54.4,10,Individual,1,0,5.033427777,727,3.514149134,0
15500,60,364.61,6,MORTGAGE,Not Verified,14-May,car,6.09,1996,9,0,49.3,26,Individual,6,0,5.146131138,682,3.779524343,0
7000,36,231.4,10,RENT,Verified,14-May,car,8.11,2002,15,0,50.7,24,Individual,0,0,4.988264571,667,4.024854948,0
9600,36,330.4,10,MORTGAGE,Source Verified,14-May,car,12.53,2000,6,1,34.7,10,Individual,0,0,4.50516355,717,3.660770644,0
5300,36,168.96,10,MORTGAGE,Source Verified,14-May,car,34.38,1998,13,0,9.6,33,Individual,1,0,4.850333725,757,3.444357126,0
5425,36,186.71,8,RENT,Verified,14-May,car,14.92,2003,11,1,61,27,Individual,0,1,4.707578692,667,3.572987708,0
3600,36,125.88,,MORTGAGE,Verified,14-May,car,14.9,1995,16,0,62,53,Individual,3,0,4.812920038,667,4.154423973,0
10000,36,327.34,1,MORTGAGE,Source Verified,14-May,car,4.9,2005,5,0,24.7,11,Individual,4,0,5.033427777,767,4.922881091,0
8500,36,260.48,10,OWN,Not Verified,14-May,car,15.66,2000,11,0,24.2,33,Individual,3,0,5.169180503,747,3.765668555,0
4500,60,113.23,1,RENT,Not Verified,14-May,car,6.6,2008,10,0,29.5,12,Individual,0,0,4.146159056,707,3.339053736,0
15600,60,371.05,9,MORTGAGE,Not Verified,14-May,car,21.87,2004,11,0,98.1,44,Individual,1,0,4.69897869,697,4.112236231,0
14000,60,325.62,10,MORTGAGE,Source Verified,14-May,car,9.05,1982,8,0,15.6,26,Individual,4,0,5.352184448,717,3.426185825,0
22000,36,784.26,10,RENT,Source Verified,14-May,car,5.79,2001,9,0,15.8,23,Individual,4,0,5.113946693,687,3.539201599,0
4875,36,164.24,2,MORTGAGE,Not Verified,14-May,car,16.62,2001,11,0,60.7,23,Individual,3,0,4.724284064,697,4.453425371,0
15000,36,467.91,2,RENT,Source Verified,14-May,car,14.24,2002,13,0,24.8,38,Individual,0,0,4.929424035,732,4.246203042,0
6250,36,213.55,,MORTGAGE,Source Verified,14-May,car,16.58,2000,4,1,69,13,Individual,6,1,4.80618676,677,3.44870632,1
15000,36,507.95,2,OWN,Not Verified,14-May,car,6.3,2006,5,0,56.1,13,Individual,0,0,5.180931183,667,3.813447544,0
10000,36,334.49,1,RENT,Source Verified,14-May,car,12.87,2007,5,0,70.1,6,Individual,0,0,4.39795738,692,3.906173364,0
9000,36,297.52,1,RENT,Verified,14-May,car,20.19,2005,15,0,57.1,28,Individual,0,0,4.792398694,697,4.07878296,0
6000,36,200.7,7,RENT,Verified,14-May,car,4.11,2008,8,0,25.5,15,Individual,1,0,4.819550516,697,3.681422156,0
4000,36,129.36,10,MORTGAGE,Source Verified,14-May,car,2.08,2003,8,0,21.9,22,Individual,4,0,4.850039392,707,3.612783857,0
1400,36,51.32,6,RENT,Not Verified,14-May,car,8.3,2000,8,1,54.3,13,Individual,0,1,4.763435481,662,3.467163966,0
12475,36,422.44,1,RENT,Source Verified,14-May,car,19.82,1998,7,1,57,14,Individual,1,1,4.591075743,692,3.561935763,0
11000,36,367.94,1,RENT,Source Verified,14-May,car,23.91,2005,14,0,41.8,33,Individual,0,0,4.602070849,702,3.626032248,1
18000,36,578.03,0,OWN,Not Verified,14-May,car,15.05,1990,19,0,58.3,33,Individual,3,0,5.255274918,687,4.941779678,0
8050,36,307.4,5,RENT,Source Verified,14-May,car,16.13,2004,13,1,47.5,17,Individual,0,1,4.50516355,667,3.929214504,1
5200,36,181.82,10,MORTGAGE,Verified,14-May,car,34.35,1997,19,2,80.5,38,Individual,1,0,4.857338528,662,4.388598472,0
5000,36,170.04,10,MORTGAGE,Verified,14-May,car,22.83,1983,17,0,41,39,Individual,9,0,4.765288474,722,4.385963571,0
10800,36,337.94,8,OWN,Not Verified,14-May,car,8,1980,9,0,15.4,19,Individual,3,0,4.778158489,772,3.489255168,0
2500,36,89.85,1,MORTGAGE,Verified,14-May,car,17.35,1991,19,0,57.2,50,Individual,7,0,4.991230507,662,4.073608388,0
5600,36,188.66,2,RENT,Verified,14-May,car,15.41,2007,7,0,22,9,Individual,0,0,4.579795025,672,2.930949031,0
12000,60,283.22,,OWN,Verified,14-May,car,2.25,1989,9,0,6.6,28,Individual,4,0,4.556314564,722,3.585347911,0
4000,36,134.76,,OWN,Verified,14-May,car,4,1999,4,0,3.1,15,Individual,1,0,4.176351758,702,2.869818208,0
1500,36,51.74,0,OWN,Not Verified,14-May,car,6.55,2008,5,0,53.8,6,Individual,0,0,4.342442421,717,2.84509804,1
3000,36,113.31,1,RENT,Verified,14-May,car,5.15,2005,5,0,23.9,8,Individual,0,0,4.146159056,672,3.454539985,0
5550,36,203.22,3,RENT,Source Verified,14-May,car,14.25,2008,6,0,42.7,8,Individual,0,0,4.602070849,677,3.499687083,0
17600,36,540.39,2,OWN,Source Verified,14-May,car,3,1989,3,0,0,30,Individual,6,0,4.982275757,782,0,0
8000,36,254.03,10,OWN,Source Verified,14-May,car,0.9,1986,3,0,56,15,Individual,3,0,4.982275757,742,3.561101384,0
8000,36,269.52,1,MORTGAGE,Source Verified,14-May,car,12.33,1993,9,1,59,35,Individual,1,1,4.732401802,672,3.71858472,0
2500,36,83.63,3,RENT,Not Verified,14-May,car,20.38,2005,5,0,48.8,6,Individual,0,0,4.716011695,732,3.011147361,0
19675,36,766.04,4,MORTGAGE,Source Verified,14-May,car,13.21,2005,9,0,73.2,10,Individual,1,0,4.930954123,672,4.224222186,0
20000,60,434.75,3,MORTGAGE,Not Verified,14-May,car,18.91,2005,9,0,24,26,Individual,2,0,4.875067054,777,3.941809473,0
6000,36,202.14,5,RENT,Source Verified,14-May,car,31.08,1982,9,0,42.3,29,Individual,1,0,4.681250285,702,3.925208921,0
16000,36,498.59,0,RENT,Not Verified,14-May,car,16.11,2004,16,0,3.9,25,Individual,0,0,4.69897869,737,2.670245853,0
12000,36,368.45,9,MORTGAGE,Not Verified,14-May,car,13.93,1993,10,0,32,21,Individual,5,0,5.255274918,807,4.055493007,0
4800,36,170.16,,RENT,Verified,14-May,car,29.02,1996,11,0,37,19,Individual,0,0,4.431379849,707,3.86254877,0
6000,36,212.7,4,RENT,Source Verified,14-May,car,20.03,1998,11,0,71.9,24,Individual,0,0,4.556314564,667,4.155578931,1
3700,36,127.62,2,RENT,Verified,14-May,car,29.22,2001,3,1,36,13,Individual,1,1,4.388829154,692,3.383635868,0
8600,36,296.61,10,RENT,Source Verified,14-May,car,13.15,1998,10,1,34.8,43,Individual,5,1,4.995270936,667,3.983626287,0
1875,36,65.56,0,OWN,Not Verified,14-May,car,28.56,1998,5,0,81.9,12,Individual,0,0,4.40090047,667,3.938669801,0
5000,36,192.12,4,MORTGAGE,Source Verified,14-May,car,14.91,2003,14,0,75.2,21,Individual,2,0,4.502440777,677,4.094016681,0
5600,36,188.66,3,RENT,Source Verified,14-May,car,26.01,2002,21,0,73.6,37,Individual,0,0,4.652256013,662,3.622938969,0
5000,36,158.77,7,MORTGAGE,Source Verified,14-May,car,6.44,2000,8,0,8.2,23,Individual,2,0,4.869237589,722,2.954724791,0
3000,36,96.34,3,MORTGAGE,Verified,14-May,car,4.31,2003,9,0,52.5,13,Individual,1,0,4.82866634,727,3.225825991,0
6000,36,208.91,10,RENT,Source Verified,14-May,car,18.42,2002,7,3,47.2,12,Individual,0,0,4.50516355,662,3.537567257,1
14400,36,489.72,10,RENT,Source Verified,14-May,car,7.11,1999,4,0,10,13,Individual,2,0,4.740370586,667,3.176669933,0
7000,36,229.14,10,MORTGAGE,Verified,14-May,car,5.98,1994,5,0,76.2,24,Individual,4,0,4.812920038,702,4.096910013,0
12000,36,401.39,5,MORTGAGE,Not Verified,14-May,car,10.85,1994,7,1,50.9,32,Individual,4,0,4.672107098,667,3.198657087,0
6600,36,206.52,0,RENT,Source Verified,14-May,car,10.18,1998,11,0,20.9,25,Individual,0,0,4.574042849,732,3.369772289,0
2000,36,65.47,3,OWN,Not Verified,14-May,car,15.98,1996,9,0,87.8,25,Individual,2,0,4.850039392,717,4.073864923,0
8000,36,283.6,,OWN,Source Verified,14-May,car,26.24,2001,9,0,57.2,30,Individual,0,0,4.602070849,667,3.380753771,1
12000,60,314.4,0,RENT,Source Verified,14-May,car,22.33,2007,9,0,74.9,22,Individual,0,0,4.724284064,667,3.365862215,1
11200,36,359.66,8,RENT,Source Verified,14-May,car,13.24,1993,21,0,34.5,51,Individual,1,0,5.301032167,697,3.129689892,0
10200,36,361.58,6,RENT,Source Verified,14-May,car,33.73,2005,4,0,96.8,13,Individual,0,0,4.567743713,697,3.894371454,0
5000,36,174.09,10,MORTGAGE,Source Verified,14-May,car,7.84,1997,10,1,55.9,41,Individual,3,1,4.875067054,662,3.586362223,0
3750,36,130.57,10,MORTGAGE,Verified,14-May,car,14.33,1992,8,1,22.5,32,Individual,5,1,4.459407567,682,2.964730921,0
5850,36,210.24,1,OWN,Verified,14-May,car,17.92,2007,10,0,50.9,15,Individual,0,0,4.146159056,672,3.865340906,0
10000,36,327.34,6,RENT,Source Verified,14-May,car,5.76,2007,9,1,24.6,16,Individual,0,0,4.903095416,712,3.56205483,0
9000,36,313.36,2,MORTGAGE,Not Verified,14-May,car,8.72,2001,6,0,69.9,30,Individual,6,0,4.778158489,677,4.028937077,0
20000,36,689.79,0,RENT,Verified,14-Apr,car,4.56,2001,5,0,16.5,22,Individual,0,0,5.176094154,662,3.172018809,0
9125,36,323.48,6,RENT,Verified,14-May,car,4,2002,9,2,15.7,27,Individual,2,2,4.322239975,682,3.11991541,0
5500,36,171.39,5,RENT,Not Verified,14-May,car,25.95,2000,15,0,36.6,35,Individual,2,0,4.851264465,772,4.400607057,0
8000,36,287.5,8,RENT,Source Verified,14-Apr,car,14.19,2007,12,0,45.1,14,Individual,0,0,4.653222165,662,3.74390155,0
3250,36,113.64,1,OWN,Verified,14-May,car,2.64,2004,5,0,33,7,Individual,0,0,4.69897869,662,3.147057671,1
10000,36,317.54,2,OWN,Source Verified,14-May,car,4.44,1995,7,0,0,27,Individual,1,0,4.819550516,797,0,0
26000,36,890.65,2,RENT,Source Verified,14-May,car,10.57,1994,6,0,13,8,Individual,0,0,5.152230231,672,3.451018452,1
6500,36,206.4,,MORTGAGE,Verified,14-May,car,24.92,1997,5,0,56.8,12,Individual,0,0,4.267195203,757,3.833529582,1
6600,36,246.94,6,RENT,Source Verified,14-Apr,car,14.59,2009,11,0,33.6,14,Individual,0,0,4.653222165,672,3.465382851,0
16300,36,605.69,10,RENT,Verified,14-Apr,car,27.23,2003,3,0,89.6,12,Individual,0,0,4.591075743,712,3.952598735,1
3500,36,109.07,3,RENT,Not Verified,14-May,car,17.44,2006,21,0,8.8,30,Individual,0,0,4.919083325,732,3.679972694,0
10800,60,254.9,0,RENT,Verified,14-Apr,car,30.6,2011,8,0,28,8,Individual,0,0,4.556314564,742,3.398634325,1
4000,36,143.75,,RENT,Source Verified,14-May,car,12.26,1994,10,0,50.8,21,Individual,2,0,4.623259631,677,3.987129768,0
4000,36,134.76,2,RENT,Source Verified,14-Apr,car,17.01,2007,11,0,59.3,19,Individual,0,0,4.544080453,692,3.982723388,0
7925,36,284.81,0,OWN,Source Verified,14-Apr,car,2.25,2005,4,3,46.2,9,Individual,2,1,4.602070849,672,3.112605002,0
10000,36,321.13,0,OWN,Source Verified,14-May,car,11.27,2006,12,0,9.7,30,Individual,1,0,4.903095416,672,3.286905353,0
2225,36,88.46,4,OWN,Not Verified,14-Apr,car,17.58,2008,6,0,75.8,12,Individual,0,0,4.146159056,662,3.181271772,0
15000,36,476.3,5,RENT,Source Verified,14-Apr,car,9.32,1996,14,0,26.4,30,Individual,0,0,4.716011695,717,3.636788689,0
7700,36,295.87,1,MORTGAGE,Source Verified,14-Apr,car,8.36,2005,12,0,43.5,18,Individual,2,0,4.751286804,677,3.765519543,1
14000,36,487.45,10,OWN,Source Verified,14-Apr,car,28.43,1999,10,0,55.2,36,Individual,0,0,4.80618676,672,4.080337823,0
1200,36,44.9,,RENT,Verified,14-Apr,car,10.4,1988,2,0,0.8,22,Individual,6,0,3.477265995,697,1.568201724,0
4000,36,133.8,10,RENT,Verified,14-Apr,car,4.15,1989,5,1,4,37,Individual,3,1,4.812920038,672,2.986323777,0
8850,36,324.05,5,MORTGAGE,Verified,14-Apr,car,15.56,1996,8,1,73,27,Individual,2,1,4.477135731,662,3.815644149,0
18000,60,443.39,3,RENT,Source Verified,14-May,car,32.79,2002,7,0,40.3,23,Individual,1,0,4.69897869,752,3.853576544,0
2600,36,87.6,10,MORTGAGE,Not Verified,14-Apr,car,13.14,1989,9,0,8.9,33,Individual,4,0,4.702439153,692,3.176958981,0
5200,36,170.22,10,MORTGAGE,Source Verified,14-May,car,19.16,1993,17,0,62.9,51,Individual,3,0,5.071885688,667,3.852113861,0
4475,36,146.49,6,MORTGAGE,Not Verified,14-Apr,car,21.44,1988,12,0,67.5,21,Individual,2,0,4.778158489,717,3.904607364,0
5000,36,167.25,2,OWN,Source Verified,14-Apr,car,10.08,2000,4,1,70.8,8,Individual,0,1,4.39795738,672,3.950754182,0
13300,36,427.1,1,RENT,Verified,14-Apr,car,2.13,2006,6,0,53.3,12,Individual,0,0,5.255274918,717,4.196176185,0
3000,36,107.82,3,RENT,Source Verified,14-Apr,car,11.83,1998,6,0,0,17,Individual,4,0,4.778158489,697,0,0
10000,36,321.13,6,MORTGAGE,Not Verified,14-Apr,car,14.08,2000,7,0,27,20,Individual,1,0,4.851264465,767,3.821840927,0
10500,36,353.74,3,RENT,Verified,14-Apr,car,19.17,1999,14,1,16.6,29,Individual,0,0,4.556314564,712,3.357934847,1
6600,36,239.44,10,RENT,Source Verified,14-Apr,car,11.8,2009,5,2,41.9,6,Individual,0,0,4.812920038,682,2.923761961,0
2600,36,96.62,10,OWN,Source Verified,14-Apr,car,22.59,2000,9,0,79.4,49,Individual,0,0,4.767081621,667,3.242541428,0
7800,36,265.27,1,RENT,Source Verified,14-Apr,car,28.91,2006,11,0,55.2,29,Individual,0,0,4.653222165,707,3.48258777,0
1000,36,31.17,4,RENT,Source Verified,14-Apr,car,15.99,2001,12,0,6.6,14,Individual,0,0,4.53149169,762,3.033021445,0
4900,36,167.86,10,RENT,Not Verified,14-Apr,car,12.1,1998,12,0,14.1,21,Individual,0,0,4.857338528,712,3.548757829,0
4000,36,133.8,10,MORTGAGE,Not Verified,14-Apr,car,33.82,2002,12,0,23.7,18,Individual,1,0,4.643462547,732,3.991314698,0
1400,36,46.5,10,MORTGAGE,Not Verified,14-Apr,car,15.08,2001,10,0,14.1,34,Individual,4,0,4.903095416,687,3.34321159,1
6000,36,204.05,10,MORTGAGE,Verified,14-Apr,car,30,2004,11,0,64,21,Individual,0,0,4.591075743,672,3.726808683,1
9600,36,314.25,2,RENT,Verified,14-Apr,car,1.58,1999,7,0,9.4,13,Individual,0,0,4.579795025,792,2.820857989,0
2000,36,68.52,2,RENT,Verified,14-Apr,car,9.87,1994,6,1,73,28,Individual,8,1,4.799347443,667,3.259115844,0
7850,36,282.11,10,MORTGAGE,Verified,14-Apr,car,16.88,1977,11,0,58.6,24,Individual,4,0,4.621186671,687,3.94116346,0
6000,36,199.26,5,OWN,Verified,14-Apr,car,9.68,1989,4,0,4.6,9,Individual,0,0,4.715752717,707,2.6599162,0
10400,36,324.08,5,RENT,Source Verified,14-Apr,car,14.96,2005,8,0,60.2,21,Individual,0,0,4.598801446,727,3.893650817,0
2100,36,67.44,1,OWN,Not Verified,14-Apr,car,16.13,2004,6,0,48.8,25,Individual,3,0,4.431379849,707,3.404320467,0
7000,36,248.15,2,MORTGAGE,Not Verified,14-Apr,car,11.02,1989,12,0,68.3,26,Individual,4,0,5.021193435,702,4.614812879,0
8000,36,292.93,0,RENT,Verified,14-Apr,car,1.03,2000,8,0,25.8,11,Individual,0,0,4.80618676,742,3.532372134,0
9000,36,313.36,0,MORTGAGE,Verified,14-Apr,car,32.63,2006,15,0,93.3,33,Individual,2,0,4.851264465,677,3.775319122,0
6000,36,186.97,0,OWN,Source Verified,14-Apr,car,7.43,2001,10,0,21.9,27,Individual,3,0,5.041365047,757,3.831165634,0
3000,36,102.77,7,RENT,Not Verified,14-Apr,car,24.42,2005,10,0,61.5,20,Individual,0,0,4.544080453,687,3.771219902,1
2750,36,91.99,2,OWN,Not Verified,14-Apr,car,13.31,1998,7,0,25.6,11,Individual,0,0,4.812920038,767,3.272537777,0
8050,36,280.28,,RENT,Source Verified,14-Apr,car,3.2,1987,6,1,23.1,36,Individual,4,1,4.556314564,667,3.473924693,0
